"movie_imdb_id","movie_names","production_company","id","id_str","name","screen_name","verified","hashtag_movie","movie_release_dates_list","toDate","fromDate"
"tt11307724","John and the Hole","IFC Films",NA,NA,NA,NA,NA,"#JohnandtheHole",2021-08-06,"202108060000","202107070000"
"tt11317142","Shiva Baby","Utopia",NA,NA,NA,NA,NA,"#ShivaBaby",2021-04-02,"202104020000","202103030000"
"tt11383348","Mary J. Blige's My Life","Amazon Studios",NA,NA,NA,NA,NA,"#MaryJ.Blige'sMyLife",2021-06-25,"202106250000","202105260000"
"tt11389748","Mass","Bleecker Street",1094298786,"1094298786","MASS","MASSOfficialMN",TRUE,"#Mass",2021-01-30,"202101300000","202012310000"
"tt11422728","Summer of Soul","Searchlight Pictures / Hulu",1382779849085833216,"1382779849085833216","Summer of Soul","summerofsoul",TRUE,"#SummerofSoul",2021-07-02,"202107020000","202106020000"
"tt11433048","Wild Indian","Vertical Entertainment",NA,NA,NA,NA,NA,"#WildIndian",2021-09-03,"202109030000","202108040000"
"tt11459366","Billie Eilish: The World's a Little Blurry","Neon / Apple TV+",16892452,"16892452","rj cutler","rjcutler",TRUE,"#BillieEilish:TheWorld'saLittleBlurry",2021-02-26,"202102260000","202101270000"
"tt11525644","No Sudden Move","HBO Max / Warner Bros. Pictures",609265351,"609265351","Ed Solomon","ed_solomon",TRUE,"#NoSuddenMove",2021-07-01,"202107010000","202106010000"
"tt11540284","8-Bit Christmas","HBO Max / Warner Bros. Pictures / New Line Cinema",1498894436,"1498894436","Cyrus Arnold","cyrusarnold",TRUE,"#8-BitChristmas",2021-11-24,"202111240000","202110250000"
"tt1160419","Dune","Warner Bros. Pictures / Legendary Entertainment / HBO Max",847922736651313152,"847922736651313152","DUNE","dunemovie",TRUE,"#Dune",2021-10-22,"202110220000","202109220000"
"tt11649338","Black Friday","Screen Media Films",24771895,"24771895","Black Friday","blackfridayinfo",TRUE,"#BlackFriday",2021-09-24,"202109240000","202108250000"
"tt11656220","Midnight in the Switchgrass","Lionsgate",NA,NA,NA,NA,NA,"#MidnightintheSwitchgrass",2021-07-23,"202107230000","202106230000"
"tt11657662","The Witcher: Nightmare of the Wolf","Netflix / Studio Mir",NA,NA,NA,NA,NA,"#TheWitcher:NightmareoftheWolf",2021-08-23,"202108230000","202107240000"
"tt11729298","American Underdog","Lionsgate",1352366622405615616,"1352366622405615619","American Underdog","AmericanUnderdg",TRUE,"#AmericanUnderdog",2021-12-25,"202112250000","202111250000"
"tt11738830","The Beta Test","IFC Films",NA,NA,NA,NA,NA,"#TheBetaTest",2021-06-11,"202106110000","202105120000"
