"movie_id","revenue","total_runtime_in_minute","meta_crtics_count","meta_score","release_date"
"tt5097864",0,NA,0,NA,NA
"tt5985476",0,NA,0,NA,1478217600
"tt2103188",0,NA,36,NA,NA
"tt4196450",7004254,NA,250,69,1475798400
"tt3032282",0,90,10,NA,1442534400
"tt3125324",6200284,116,72,73,1415923200
"tt1706598",97020,93,31,46,NA
"tt2667918",0,99,29,45,1407456000
"tt1650060",0,125,7,30,NA
"tt8097306",13743111,110,47,39,1541116800
"tt6905402",67760,89,7,65,1536883200
"tt5688932",727266,112,210,80,1531440000
"tt7831044",0,NA,3,NA,NA
"tt8563452",0,105,16,NA,1555027200
"tt7137380",55347,121,224,62,NA
"tt2670882",0,100,28,53,1525996800
"tt4465538",0,88,7,NA,NA
"tt6838918",0,99,19,NA,NA
"tt1389139",14202323,107,39,28,1473379200
"tt1366338",2403885,98,14,57,NA
"tt3369350",0,101,12,65,1455235200
"tt1709694",0,108,2,NA,1362614400
"tt4126476",6002349,105,76,30,1555027200
"tt7634968",18232087,117,90,49,1549584000
"tt8359456",0,NA,0,NA,1524960000
"tt6243808",0,NA,0,NA,NA
"tt7428876",0,NA,1,NA,NA
"tt8970448",0,81,25,53,1572566400
"tt1764664",0,101,6,NA,NA
"tt1974558",0,NA,0,NA,NA
"tt2276914",0,NA,0,NA,1266883200
"tt1210039",82739,128,19,49,NA
"tt5013984",14425,84,13,NA,1622764800
"tt8968492",0,NA,1,NA,NA
"tt6133466",17374280,97,229,54,1530662400
"tt1259528",15206108,140,188,49,1516320000
"tt11627680",0,NA,0,NA,NA
"tt6758520",0,NA,0,NA,NA
"tt8669354",0,88,15,NA,NA
"tt8879666",0,90,3,NA,NA
"tt7671414",0,87,20,28,1555200000
"tt0393049",0,98,7,NA,NA
"tt1121977",43040,125,154,64,NA
"tt0410650",0,111,44,NA,NA
"tt0207952",0,95,1,NA,NA
"tt0160298",2527909,94,16,NA,926467200
"tt8240090",0,NA,1,NA,NA
"tt9303030",0,82,1,NA,1561680000
"tt8332666",0,87,67,NA,NA
"tt5673714",15845,91,3,NA,1518134400
"tt5189894",0,93,65,56,1501804800
"tt3257922",0,NA,0,NA,NA
"tt7704392",0,88,5,NA,1527811200
"tt6015410",0,78,4,NA,1527206400
"tt7484096",0,NA,0,NA,1507420800
"tt4125654",0,107,5,NA,NA
"tt8919180",0,NA,0,NA,1532736000
"tt6547054",0,NA,0,NA,1529884800
"tt2448022",0,102,4,NA,NA
"tt5970284",0,NA,0,NA,NA
"tt5164412",17958,104,13,50,1470268800
"tt10731140",0,NA,0,NA,NA
"tt10385274",0,NA,0,NA,NA
"tt10289350",0,90,3,NA,NA
"tt10015040",0,NA,2,NA,1556236800
"tt8196676",0,NA,0,NA,NA
"tt1618434",0,97,88,38,1560470400
"tt2094880",0,NA,0,NA,NA
"tt0430922",19167085,99,126,61,1226016000
"tt1091227",0,NA,0,NA,1201737600
"tt1510887",0,NA,0,NA,NA
"tt7068878",0,88,1,NA,1533254400
"tt3396114",0,112,5,NA,1542153600
"tt6069264",0,93,46,55,1510272000
"tt4257926",14812393,109,71,44,1458086400
"tt1105355",14867,102,6,NA,1486080000
"tt0448115",53505326,132,395,71,1554422400
"tt1226837",218888,NA,233,62,NA
