"movie_names","production_company","movie_imdb_id","id","id_str","name","screen_name","verified"
"The Eyes of Tammy Faye","Searchlight Pictures / Freckle Films / MWM Studios","tt9115530",1233101988994306048,"1233101988994306048","The Eyes of Tammy Faye","eyesoftammyfaye",TRUE
"The Forever Purge","Universal Pictures / Platinum Dunes / Blumhouse Productions","tt10327252",611086667,"611086667","Susie Abromeit","SusieAbromeit",TRUE
"The French Dispatch","Searchlight Pictures / Indian Paintbrush","tt8847712",1173693673717944320,"1173693673717944320","The French Dispatch","french_dispatch",TRUE
"The Gateway","Lionsgate","tt10207710",1413519296949473280,"1413519296949473281","The Gateway","TheGatewayFilm",TRUE
"The Green Knight","A24 / Bron Creative","tt9243804",1215736303544868864,"1215736303544868864","The Green Knight","TheGreenKnight",TRUE
"The Guilty","Netflix / Bold Films / Nine Stories Productions","tt9421570",4430502617,"4430502617","The Guilty Feminist","GuiltFemPod",TRUE
"The Harder They Fall","Netflix","tt10696784",18096913,"18096913","THE BULLITTS","TheBullitts",TRUE
"The House Next Door: Meet the Blacks 2","Lionsgate","tt7524444",2855922708,"2855922708","The House Next Door: Meet the Blacks 2","MeettheBlacks",TRUE
"The Humans","A24 / Showtime / IAC Films","tt10023286",1424767927383822336,"1424767927383822339","The Humans","thehumansmovie",TRUE
"The Ice Road","Netflix","tt3758814",15846407,"15846407","Ellen DeGeneres","TheEllenShow",TRUE
"The Jesus Music","Lionsgate","tt14857602",1400458122431320064,"1400458122431320067","The Jesus Music","JesusMusicMovie",TRUE
"The King's Man","20th Century Studios / Marv Studios / TSG Entertainment","tt6856242",2347982916,"2347982916","The King's Man","KingsmanMovie",TRUE
"The Last Duel","20th Century Studios / Scott Free Productions / Pearl Street Films","tt4244994",1408159493293178880,"1408159493293178881","The Last Duel","TheLastDuelFilm",TRUE
"The Little Things","Warner Bros. Pictures / Gran Via Productions / HBO Max","tt10016180",968567047499038720,"968567047499038720","A Million Little Things","AMillionABC",TRUE
"The Lost Daughter","Netflix / Endeavor Content","tt9100054",1427740675571810304,"1427740675571810307","the LOST DAUGHTER","thelostdaughter",TRUE
"The Manor","Amazon Studios / Blumhouse Television","tt13372794",218276380,"218276380","THE MANOR","_TheManor",TRUE
"The Many Saints of Newark","Warner Bros. Pictures / New Line Cinema / HBO Films / HBO Max","tt8110232",1233112075414540288,"1233112075414540288","The Many Saints Of Newark","newarkmovie",TRUE
"The Map of Tiny Perfect Things","Amazon Studios","tt11080108",1348710711082455040,"1348710711082455040","The Map of Tiny Perfect Things","tinyperfmovie",TRUE
"The Marksman","Open Road Films","tt6902332",1313315656389980160,"1313315656389980160","The Marksman","TheMarksmanMov",TRUE
"The Matrix Resurrections","Warner Bros. Pictures / Village Roadshow Pictures / HBO Max","tt10838180",1220814753016102912,"1220814753016102914","The Matrix Resurrections – <U+0001F6AB> Spoilers!","TheMatrixMovie",TRUE
"The Mauritanian","STXfilms / Topic Studios / BBC Film","tt4761112",1319419694554574848,"1319419694554574849","The Mauritanian","TheMauritanian",TRUE
"The Misfits","The Avenue Entertainment","tt4876134",18491161,"18491161","The Misfits","themisfits",TRUE
"The Mitchells vs. the Machines","Netflix / Columbia Pictures / Sony Pictures Animation","tt7979580",1220040267538894848,"1220040267538894848","The Mitchells vs. The Machines","MitchellsMovie",TRUE
"The Night House","Searchlight Pictures / TSG Entertainment","tt9731534",1265781681832644608,"1265781681832644613","The Night House","nighthousemovie",TRUE
"The Paper Tigers","Well Go USA Entertainment","tt6060444",769309198253297664,"769309198253297664","The Paper Tigers","_ThePaperTigers",TRUE
